ticket_id,created_at,channel,priority,status,subject,description,resolution
INC-1001,2026-03-12,Email,Low,Closed,Dashboard is extremely slow to load,Our main dashboard takes 30+ seconds to render every morning.,A saved view was loading too many widgets; split it into focused dashboards and load time dropped under 3s.
INC-1002,2026-03-20,Phone,Urgent,Closed,Need to export only selected columns,The export includes every field but I only want a few specific columns.,Showed the user how to configure a custom export template selecting just the needed columns.
INC-1003,2026-04-25,Phone,Urgent,Closed,Discount code not applied at checkout,I entered our promo code but the price didn't change on the payment page.,Code was case-sensitive and had a typo; applied the correct code and the discount reflected immediately.
INC-1004,2026-04-12,Chat,Medium,Closed,High latency only during peak hours,Between 9 and 11 AM the app is noticeably slower than the rest of the day.,Peak-hour load was saturating a shared queue; scaled the workers and peak latency normalized.
INC-1005,2026-03-23,Email,High,Closed,Charged twice this month,It looks like our company was billed two times for the same subscription period.,A duplicate charge occurred from a failed-then-retried payment; refunded the extra amount within 5-7 business days.
INC-1006,2026-04-17,Portal,Urgent,Closed,Feature request: dark mode,It would be great to have a dark theme for late-night work sessions.,Logged the request with the product team and shared the public roadmap link for updates.
INC-1007,2026-05-10,Email,Low,Closed,How do I upgrade to the Business plan,We want to move from the Starter plan to Business but I'm not sure where to do it.,Walked the user through Settings > Plan > Upgrade; proration applied automatically to the new tier.
INC-1008,2026-04-17,Chat,High,Closed,API returns 401 unauthorized,All my API calls suddenly fail with a 401 even though nothing changed in my code.,The API key had been rotated by an admin; generated a new key and updated the integration's credentials.
INC-1009,2026-04-05,Phone,Low,Closed,App feels laggy on older browser,Everything is sluggish for one of our users on an outdated browser version.,Browser was several major versions behind; updating it restored normal performance.
INC-1010,2026-03-22,Portal,High,Closed,Search takes too long to return results,Global search results take ages to appear for our large workspace.,"Re-indexed the workspace search and enabled the new search backend, cutting latency significantly."
INC-1011,2026-04-23,Phone,Urgent,Closed,Remove a former employee's access,An employee left the company and I need to revoke their account immediately.,Deactivated the user and reassigned their owned items to a manager to preserve the data.
INC-1012,2026-03-03,Portal,Urgent,Closed,Can I automate a daily data export,I'd like our data emailed as a file automatically every morning.,Configured a scheduled export with daily frequency delivering to the team distribution list.
INC-1013,2026-05-23,Email,Low,Closed,Bulk import is very slow,Importing a large CSV of records crawls and sometimes stalls.,"Recommended splitting the file into smaller batches and using the async import option, which completed reliably."
INC-1014,2026-05-24,Portal,Urgent,Closed,Payment failed but card is valid,Our monthly charge failed even though the credit card has plenty of funds.,Issuing bank flagged the recurring charge; user contacted the bank to approve it and we retried successfully.
INC-1015,2026-05-10,Phone,High,Closed,Can't log in after password reset,"I requested a password reset link, set a new password, but the login page keeps saying invalid credentials.",Reset link had expired; issued a fresh link and confirmed the new password worked. Advised links expire in 30 minutes.
INC-1016,2026-04-01,Portal,Medium,Closed,Bulk invite multiple users,I have a list of 20 people to add and doing them one by one is painful.,Used the bulk invite by uploading a CSV of email addresses in Members > Invite > Bulk.
INC-1017,2026-03-20,Phone,Low,Closed,Where do I find my API key,I'm setting up an integration and can't locate where to generate an API token.,Directed the user to Settings > Developer > API Keys to create a token with the right scopes.
INC-1018,2026-04-07,Chat,Medium,Closed,Cancel subscription before renewal,I want to stop our plan from renewing next month and avoid being charged again.,Cancelled auto-renew from the billing portal; confirmed access continues until the end of the paid period.
INC-1019,2026-04-13,Phone,Low,Closed,API documentation pagination unclear,I can't figure out how to page through more than 100 results from the list endpoint.,Explained the cursor-based pagination using the next_cursor field; user retrieved all pages.
INC-1020,2026-04-06,Phone,High,Closed,Need to make someone an admin,How do I give a teammate full administrator rights?,Walked the owner through Members > Role > Admin to elevate the teammate's permissions.
INC-1021,2026-04-05,Portal,Urgent,Closed,Change workspace owner,Our current owner is leaving and we need to transfer ownership.,Transferred ownership from Settings > General > Transfer Ownership after confirming the new owner.
INC-1022,2026-05-12,Phone,Medium,Closed,Zapier connection keeps failing,My Zap can't authenticate with your service and errors out on every run.,Account was on a plan without API access; upgraded the plan and the Zapier auth completed.
INC-1023,2026-03-05,Chat,Medium,Closed,How do I rename my workspace,I want to change our workspace name to match a rebrand.,Showed the user Settings > General > Workspace Name to rename it.
INC-1024,2026-05-08,Chat,Low,Closed,New employee can't access the login page,Our new hire's invite link says the account is not active when they try to sign in.,Invite had not been accepted; resent the activation email and the account became active after confirmation.
INC-1025,2026-05-16,Chat,High,Closed,Export button is greyed out,The export option is disabled and I can't click it.,User's role lacked export permission; an admin granted the export right and the button became active.
INC-1026,2026-03-10,Chat,Urgent,Closed,Webhook events not being delivered,Our endpoint is no longer receiving webhook notifications for new records.,Webhook URL was returning 500s and got auto-disabled; fixed the endpoint and re-enabled the subscription.
INC-1027,2026-04-18,Portal,Medium,Closed,Scheduled report didn't arrive by email,Our weekly scheduled report email never showed up this Monday.,"Schedule owner's account was deactivated, pausing the report; reassigned ownership and it resumed."
INC-1028,2026-05-23,Email,Urgent,Closed,MFA code not arriving on phone,"My two-factor authentication SMS codes are not coming through, so I am locked out of my account.",SMS delivery was failing for the carrier; switched the user to an authenticator app (TOTP) which resolved it.
INC-1029,2026-05-28,Phone,Urgent,Closed,Can't add a new team member,When I try to invite a colleague it says the invitation can't be sent.,Workspace had reached its seat limit; freed a seat by removing an inactive user and the invite went through.
INC-1030,2026-04-13,Email,Urgent,Closed,Hitting rate limit 429 errors,We keep getting 429 Too Many Requests when syncing data through the API.,Client exceeded the per-minute quota; advised adding exponential backoff and batching requests.
INC-1031,2026-04-21,Email,Medium,Closed,PDF report missing the latest data,The PDF I generated doesn't include records added earlier today.,Report was using a cached snapshot; triggering a manual refresh before export included the new records.
INC-1032,2026-03-03,Phone,Medium,Closed,Refund request for unused seats,We downgraded but were still charged for seats we no longer use.,Issued a prorated credit for the unused seats and applied it to the next invoice.
INC-1033,2026-04-04,Email,Low,Closed,Guest can't see the shared project,I shared a project with an external guest but they say it's not visible.,Guest access was restricted at the workspace level; enabled external sharing and re-shared the project.
INC-1034,2026-05-01,Chat,Low,Closed,Page freezes when filtering big tables,When I apply filters on a table with thousands of rows the browser hangs.,Enabled server-side pagination for large tables which removed the client-side freeze.
INC-1035,2026-05-12,Email,Low,Closed,Intermittent 504 gateway timeouts,We randomly get 504 errors a few times a day when opening projects.,Traced to a slow third-party data sync; moved that sync to a background job and timeouts stopped.
INC-1036,2026-03-28,Phone,Medium,Closed,Session keeps logging me out,I get signed out every few minutes and have to log in again repeatedly.,Browser was blocking third-party cookies; enabling cookies for our domain kept the session alive.
INC-1037,2026-04-21,Portal,High,Closed,Account locked after failed attempts,After a few wrong password tries my account got locked and I can't get back in.,Account auto-locks after 5 failed attempts for 15 minutes. Manually unlocked it and advised waiting or resetting.
INC-1038,2026-03-16,Email,Urgent,Closed,Update the credit card on file,Our old company card expired and I need to add the new one for billing.,Guided the user to Billing > Payment Methods to replace the card; verified the next charge would use it.
INC-1039,2026-04-15,Phone,High,Closed,CSV export downloads an empty file,When I export my data to CSV the downloaded file has headers but no rows.,Active filter was excluding all records; clearing the filter before export produced the full file.
INC-1040,2026-03-03,Email,High,Closed,Seat limit reached unexpectedly,It says we're out of seats but I thought we had more available.,Several deactivated users were still consuming seats; fully removing them released the seats.
INC-1041,2026-04-24,Phone,Medium,Closed,Large export keeps failing midway,My export of the entire dataset fails partway through with an error.,Switched the user to the asynchronous export which emails a download link once the large file is ready.
INC-1042,2026-03-17,Chat,High,Closed,Invalid signature on webhook payload,Our verification of the webhook signature header keeps failing.,Customer was hashing the raw body incorrectly; shared the correct HMAC-SHA256 verification steps.
INC-1043,2026-05-05,Email,High,Closed,Cannot enable two-factor authentication,The setup screen for 2FA shows an error when I scan the QR code.,Device clock was out of sync causing TOTP mismatch; syncing the phone time fixed code generation.
INC-1044,2026-03-21,Portal,High,Closed,Export to Excel breaks special characters,Accented and non-English characters look garbled when I open the export in Excel.,Advised importing the UTF-8 CSV via Excel's Data > From Text with UTF-8 encoding to render characters correctly.
INC-1045,2026-04-06,Chat,High,Closed,Forgot password email never received,I clicked forgot password several times but no email ever shows up in my inbox.,Reset emails were landing in spam; whitelisted our sending domain and the user received the link.
INC-1046,2026-03-21,Chat,Medium,Closed,SSO login redirects back to sign-in,When I click Login with SSO it bounces me back to the login screen instead of logging me in.,The SAML callback URL in the IdP was misconfigured; corrected the ACS URL and SSO login succeeded.
INC-1047,2026-04-27,Chat,Medium,Closed,User has wrong access level,One of our members can edit things they should only be able to view.,"Adjusted the user's role from Editor to Viewer in Members settings, restricting their permissions."
INC-1048,2026-04-17,Portal,Low,Closed,Reports time out on large date ranges,Running a report across a full year just spins and eventually errors.,Query was scanning too much data; advised narrowing the range and using the pre-aggregated report type.
INC-1049,2026-04-01,Phone,High,Closed,Need a copy of last month's invoice,I can't find the PDF invoice for our previous billing cycle for our accounts team.,Generated the invoice from Billing > History and emailed the PDF; showed where to self-download future invoices.
INC-1050,2026-05-07,Portal,Urgent,Closed,Slack integration stopped posting updates,Notifications used to post to our Slack channel but they've gone silent.,The Slack OAuth token had expired; reconnected the integration and test messages posted successfully.
